Distancia,Latitud,Longitud,BAZ,Magnitud,Estacion,TiempoInicio,TiempoFin
86.1119537354,-29.250482638,-72.3466548134,269.052571483,3.53,CO10,2021-07-04T05:56:11.000000Z,2021-07-04T05:57:17.975000Z
100.212593079,-29.1209516259,-72.4820804243,277.353464306,3.36,CO10,2021-07-04T05:59:59.000000Z,2021-07-04T06:00:31.975000Z
34.4920425415,-29.4973370865,-71.661567378,214.3488351,4.08,CO10,2021-07-04T06:01:43.000000Z,2021-07-04T06:05:17.975000Z
65.3963699341,-29.7684640587,-71.7620496361,206.448696796,2.91,CO10,2021-07-04T06:08:35.000000Z,2021-07-04T06:09:35.975000Z
86.0265808105,-29.8764779878,-70.9519769532,145.146287335,3.59,CO10,2021-07-04T06:09:43.000000Z,2021-07-04T06:10:25.975000Z
-51.3139801025,-29.4289128648,-70.9782304892,294.124037586,3.05,CO10,2021-07-04T06:14:05.000000Z,2021-07-04T06:18:17.975000Z
83.7693023682,-29.9955591882,-71.4990699028,182.521956737,3.81,CO10,2021-07-04T06:22:39.000000Z,2021-07-04T06:24:37.975000Z
96.2616500854,-29.445536328,-72.4240811241,256.113160591,3.57,CO10,2021-07-04T06:27:25.000000Z,2021-07-04T06:27:59.975000Z
80.4211425781,-28.6345406886,-71.0072614174,33.4718167258,3.41,CO10,2021-07-04T06:33:09.000000Z,2021-07-04T06:34:05.975000Z
95.2682037354,-29.2655051921,-72.4405793224,268.098230132,3.39,CO10,2021-07-04T06:35:09.000000Z,2021-07-04T06:35:47.975000Z
77.4659042358,-28.5526807447,-71.3202199619,10.2343221552,3.64,CO10,2021-07-04T06:37:39.000000Z,2021-07-04T06:38:41.975000Z
66.6323471069,-29.6930646827,-71.0086296116,138.938178134,3.41,CO10,2021-07-04T06:39:43.000000Z,2021-07-04T06:41:53.975000Z
91.0354995728,-30.0539324158,-71.33066947,172.072136137,3.3,CO10,2021-07-04T06:42:53.000000Z,2021-07-04T06:43:33.975000Z
86.5276260376,-29.2427180548,-72.3509661091,269.624941336,3.61,CO10,2021-07-04T06:48:03.000000Z,2021-07-04T06:49:03.975000Z
89.7904815674,-28.9750737539,-72.3323917509,288.918586495,3.27,CO10,2021-07-04T06:53:37.000000Z,2021-07-04T06:54:13.975000Z
74.7384719849,-29.913592775,-71.4141823876,176.5414431,3.06,CO10,2021-07-04T06:55:25.000000Z,2021-07-04T06:56:19.975000Z
77.6593399048,-29.1597913811,-72.2540956017,276.426798881,3.14,CO10,2021-07-04T07:01:45.000000Z,2021-07-04T07:02:39.975000Z
69.7872009277,-28.7959045436,-70.953701854,45.1954095493,2.99,CO10,2021-07-04T07:03:11.000000Z,2021-07-04T07:04:19.975000Z
77.9324188232,-29.9281513551,-71.2929447539,167.991384976,3.83,CO10,2021-07-04T07:05:07.000000Z,2021-07-04T07:07:03.975000Z
77.4969711304,-29.7710128155,-71.9815504526,220.523093883,3.2,CO10,2021-07-04T07:08:41.000000Z,2021-07-04T07:09:25.975000Z
66.418006897,-28.9416124822,-72.0521404666,299.782876635,3.07,CO10,2021-07-04T07:09:27.000000Z,2021-07-04T07:10:33.975000Z
83.461517334,-28.9559223317,-72.2546208729,292.017279397,3.26,CO10,2021-07-04T07:11:19.000000Z,2021-07-04T07:12:09.975000Z
74.0835189819,-29.5402158562,-72.1430684559,243.196781097,3.14,CO10,2021-07-04T07:12:35.000000Z,2021-07-04T07:13:39.975000Z
89.2485198975,-30.0404427219,-71.5662726071,186.540635139,3.55,CO10,2021-07-04T07:16:09.000000Z,2021-07-04T07:16:47.975000Z
